,precision,recall,f1-score,support
angry,0.9655172413793104,0.9333333333333333,0.9491525423728814,120.0
disgust,1.0,0.8083333333333333,0.8940092165898618,120.0
fear,0.9523809523809523,1.0,0.975609756097561,120.0
happy,0.9741379310344828,0.9416666666666667,0.9576271186440678,120.0
neutral,0.96,1.0,0.9795918367346939,120.0
ps,0.9444444444444444,0.9916666666666667,0.967479674796748,120.0
sad,0.8805970149253731,0.9833333333333333,0.9291338582677166,120.0
accuracy,0.9511904761904761,0.9511904761904761,0.9511904761904761,0.9511904761904761
macro avg,0.9538682263092232,0.9511904761904763,0.9503720005005044,840.0
weighted avg,0.9538682263092232,0.9511904761904761,0.9503720005005043,840.0
